Min,Mean
12533.3,18529.5
12533.3,18391.6
12533.3,18355.9
12533.3,18417.2
12533.3,18514.5
12533.3,18264.3
12533.3,18509.6
12337.3,18401.4
12337.3,18661.5
12337.3,18660.8
12337.3,18280.7
12337.3,18356.4
12337.3,18190.9
12337.3,18287.3
12337.3,18245.3
12337.3,18126.9
12337.3,18493.1
12337.3,18555.2
12337.3,18735.5
12337.3,18649.5
12337.3,19001.4
12337.3,18739.2
12337.3,18636.1
12337.3,18549.7
12337.3,18401.4
12276.4,18314.4
12276.4,18218.8
12276.4,18134.9
12276.4,18038.5
12276.4,18418.1
12276.4,18716.1
12276.4,18756.7
12276.4,18694.9
12276.4,18595.1
12276.4,18741.1
12276.4,18647.7
12276.4,18705.6
12276.4,18767.7
12276.4,18684.5
12008.3,18618.6
12008.3,18722.3
12008.3,18711.4
12008.3,18810.1
12008.3,18720
12008.3,18609.7
12008.3,18945.2
12008.3,18891.9
12008.3,18694.8
12008.3,19154.6
12008.3,18764.5
12008.3,18916.2
12008.3,18822.2
12008.3,18672.2
12008.3,18712.5
12008.3,18875.5
12008.3,18663.8
12008.3,18555.2
12008.3,18560.8
12008.3,18456.5
12008.3,18286.2
12008.3,18513.8
12008.3,18350.3
12008.3,18163.2
12008.3,18174.7
12008.3,18021.5
12008.3,18058.1
12008.3,18601.7
12008.3,18616.1
12008.3,18471.9
12008.3,18562.7
12008.3,18579.1
12008.3,18464.4
12008.3,18691.8
12008.3,18675.7
12008.3,18579
12008.3,18516.6
12008.3,18380.2
12008.3,18485.7
12008.3,18304.1
12008.3,18442.6
12008.3,18480.4
12008.3,18436.2
12008.3,18385.2
12008.3,18694.7
12008.3,18779.9
12008.3,18755.5
12008.3,18704.2
12008.3,18729.2
12008.3,18712.5
12008.3,19102.1
12008.3,18987
12008.3,18792.3
12008.3,18808.6
12008.3,18940.5
12008.3,19004.7
12008.3,18685.8
12008.3,18403.4
12008.3,18672.1
12008.3,18687.9
12008.3,18821.3
12008.3,18612.7
12008.3,18553
12008.3,18497.8
12008.3,18440.4
12008.3,18599.3
12008.3,18688.3
12008.3,18456.8
12008.3,18423.7
12008.3,18898.2
12008.3,18602.6
12008.3,18416.7
12008.3,18569.4
12008.3,18667.5
12008.3,18419.5
12008.3,18387
12008.3,18193.6
12008.3,18448.8
12008.3,18334
12008.3,18484.5
12008.3,18218.1
12008.3,18698.1
12008.3,18481.3
12008.3,18415.3
12008.3,18691.9
12008.3,18551.9
12008.3,18608.2
12008.3,18153.6
12008.3,18185.1
12008.3,18291.1
12008.3,18495.6
12008.3,18491.1
12008.3,18701.1
12008.3,18700.1
12008.3,18718
12008.3,18623.2
12008.3,18204.7
12008.3,17896
12008.3,18169.3
12008.3,18213.2
12008.3,18311.8
12008.3,18215.8
12008.3,18247.3
12008.3,18068.6
12008.3,18406.2
12008.3,18417.1
12008.3,18491.9
12008.3,18262.6
12008.3,18344.8
12008.3,18414.1
12008.3,18509.9
12008.3,18689.1
12008.3,18661.1
12008.3,18405
12008.3,18236.3
12008.3,18261.7
12008.3,18418.9
12008.3,18510.6
12008.3,17988.9
12008.3,18449.5
12008.3,18412
12008.3,18461
12008.3,18418.1
12008.3,18661.9
12008.3,18640
12008.3,18634.1
12008.3,18817.9
12008.3,18857.4
12008.3,18662.1
12008.3,18788.1
12008.3,18796.8
12008.3,18662.5
12008.3,18632.9
12008.3,18479
12008.3,18430.1
12008.3,18349.6
12008.3,18546.3
12008.3,18488.7
12008.3,18734.3
12008.3,18709.1
12008.3,18388.5
12008.3,18634.2
12008.3,18418
12008.3,18442.2
12008.3,18387.7
12008.3,18504.1
12008.3,18439.4
12008.3,18648.5
12008.3,18785.1
12008.3,18438.8
12008.3,18745.3
12008.3,18575.5
12008.3,18266.1
12008.3,18320
12008.3,18632.4
12008.3,18682.2
12008.3,18939.1
12008.3,18837.7
12008.3,18691.9
12008.3,18777
12008.3,18683.6
12008.3,18558.5
12008.3,18618.7
12008.3,18537.4
12008.3,18596.5
12008.3,18517.9
12008.3,18525.9
12008.3,18708.1
12008.3,18595.5
12008.3,18816.6
12008.3,18721.3
12008.3,18586.6
12008.3,18302.3
12008.3,18569.1
12008.3,18747.6
12008.3,18695.9
12008.3,18530.3
12008.3,18611
12008.3,18658.1
12008.3,18380.8
12008.3,18464.9
12008.3,18358.1
12008.3,18511.5
12008.3,18569.7
12008.3,18598.9
12008.3,18402.3
12008.3,18587.1
12008.3,18137.2
12008.3,18213.3
12008.3,18205.5
12008.3,18070.5
12008.3,18188.4
12008.3,18283.9
12008.3,18582.3
12008.3,18688.2
12008.3,18552.2
12008.3,18865.6
12008.3,18619.7
12008.3,18410.6
12008.3,18607.2
12008.3,18539
12008.3,18757.3
12008.3,18671.3
12008.3,18738
12008.3,18617.1
12008.3,18424.7
12008.3,18766.1
12008.3,18684.7
12008.3,18823.7
12008.3,18287.4
12008.3,18169.8
12008.3,18357.1
12008.3,18370.9
12008.3,18534.8
12008.3,18203.7
12008.3,18570.5
11667,18100.3
11667,18321.9
11667,18228.5
11667,17979.4
11667,18244.4
11667,18325.8
11466.3,18121.3
11466.3,18611.2
11466.3,18679.4
11466.3,18326.1
11466.3,18576.6
11466.3,18417.7
11466.3,18353.1
11466.3,18179.9
11466.3,18601.6
11466.3,18693.9
11466.3,18743.2
11466.3,18520.6
11162.3,18535.5
11162.3,18081.5
11162.3,18183
11162.3,18290.2
11162.3,18174.4
11162.3,18147.5
11162.3,17789.9
11162.3,17895.9
11162.3,17669.6
11162.3,17952.5
11162.3,17947.7
11162.3,18037
11162.3,18406.4
11162.3,17757.1
11162.3,17793.5
11162.3,17877.8
11162.3,18028.6
11162.3,18015.6
11162.3,17965.6
11162.3,18270.4
11162.3,18143.2
11162.3,18408.1
11162.3,18452.5
11162.3,18338.5
11162.3,18491.5
11162.3,18469.1
11162.3,18526.8
10971.8,18364.1
10971.8,18203.4
10971.8,18180.8
10971.8,18135.6
10971.8,18487.3
10971.8,18273.7
10971.8,18595.8
10971.8,18450.6
10971.8,18239.9
10971.8,18369.4
10971.8,18363.5
10971.8,18279.7
10971.8,18264.8
10971.8,18168
10971.8,18269.9
10971.8,18089
10971.8,18313.3
10971.8,18131.4
10971.8,17871.7
10971.8,17997
10971.8,18368.8
10971.8,18133.6
10971.8,18176.3
10971.8,18201.8
10971.8,17821.2
10971.8,18015.1
10971.8,18196
10971.8,18275.6
10971.8,18699.6
10971.8,18472.3
10971.8,18104.1
10971.8,17925.8
10971.8,17773.7
10971.8,18014.5
10971.8,18008.4
10971.8,17877.3
10971.8,18001.1
10971.8,18302.1
10971.8,18135.5
10971.8,18361.1
10971.8,18075.2
10971.8,17872.7
10971.8,17974.6
10971.8,17972.6
10971.8,18295.3
10971.8,18020.6
10971.8,18079.9
10971.8,18047.7
10971.8,18375.5
10971.8,18157.2
10971.8,17977
10971.8,18218.2
10971.8,18406.4
10971.8,18123.5
10971.8,18167
10971.8,18421
10971.8,18591.5
10971.8,18551.8
10971.8,18267.5
10971.8,18545.6
10971.8,18348.5
10971.8,18160.1
10971.8,18416.7
10971.8,18291.2
10971.8,18296.8
10971.8,18229.7
10971.8,18318.1
10971.8,18370.6
10971.8,18214.4
10971.8,18082.5
